start	end	text
625000	628000	But most folks feel like, oh, it's open source.
628000	630000	Why would you not go ahead and do it?
630000	632000	Open source is not free.
632000	633000	It's not free.
633000	636000	It's actually a very challenging thing to get right.
636000	639000	But oh my gosh, it's so rewarding when you do.
639000	645000	So like knowing this, it was always this question like, okay, let's weigh the actual balance.
645000	652000	Like should it be open source should not be in the answers ended being like obviously it should be open source, like especially with a CLI tool like this.
652000	657000	That's forward like for a wide variety of people and of course developers as well.
657000	663000	But something that people could see and could understand, okay, it's running on my box.
663000	665000	It has a lot of capability.
665000	667000	So what does it do and can I trust it?
667000	670000	It's like that kind of like you mentioned the security aspect.
670000	674000	That was one of our biggest reasons for like open sourcing this.
674000	677000	We want people to see exactly how it operates.
677000	679000	So they can have they can have trust.
679000	681000	They know we're not doing anything behind the scenes.
681000	683000	They know exactly what's happening.
683000	687000	And also means that if we make a mistake.
687000	692000	That we can fix it that we have the entire community to help keep us grounded.
692000	697000	And what makes the most secure sense we to be frank, we struggle to keep up.
697000	701000	We totally struggle to keep up with all the energy they give.
701000	705000	But to be frank, it's one of the most important things that we have.
705000	713000	And so when people ask me like, what is the number one thing that's on your mind for Jim and I see a line like it's our open source community.
713000	715000	Like by far, it's number one.
715000	718000	And that's like, I think we've shut down the team.
718000	726000	Like literally everyone on the team for like days in order to make sure that we can try and keep up with the amount of traction and the amount of energy coming at us.
726000	728000	But I think that's because we see the value.
728000	733000	We see how valuable it is to kind of build this in the open together.
733000	737000	So that folks have that confidence that we're doing the right thing.
737000	741000	And we have that confidence we're building the right things as well.
741000	742000	And it's funny.
742000	744000	We actually still do the updates today.
744000	755000	Actually on all of our socials will post every single week on Wednesdays will post like 100 to 150 features weekly features bugs enhancements all the above.
755000	758000	You said 150 features a week, right?
758000	761000	That's a lot.
761000	766000	What are the mechanisms that you use you and the team used to make that possible?
766000	770000	Because we use it to build itself like it allows us to.
770000	778000	Allow us to do a lot more like one of the coolest things I think that we started doing is when you teach it to boot itself.
778000	783000	It means it can spin up parallel like threads simultaneously.
783000	786000	And each of those can go ahead and tackle different problems.
786000	794000	Combine that with work get work trees and you're going even further so far gone are the days of being able to ship like twice a year.
794000	797000	Which is a huge part of software historically.
797000	802000	Because in AI every single week is like an insane amount of time.
802000	805000	Every single month is like yeah.
805000	807000	Absolutely.
807000	812000	So I think it's it's honestly it's just that it's a mindset such cultural thing that we've built.
812000	816000	And I also want to kind of acknowledge our open source community again as well.
816000	823000	Which is they really help make it possible because without folks really contributing helping each other out even.
823000	833000	I don't know how easy it would it would be like we put human eyes on every single one of the changes that go and we don't we're not just like letting things go without looking at them.
833000	843000	It's just we have a lot of really passionate really smart capable and motivated people to kind of make the right decisions at scale.
843000	852000	You use Gemini CLI to build Gemini CLI so I'm curious to tell a little bit more about how that journey started and and kind of what was your favorite part of it.
852000	858000	Yeah, it's kind of nuts like I still remember actually the first feature it built for itself.
858000	865000	Which is it's kind of crazy it was I see it's so long but it really wasn't that long ago.
865000	871000	But early on we knew that markdown rendering was going to be important right.
871000	878000	So I'm sitting there and I'm trying to build out its ability to render mark down a set of seeing the raw markdowns in the terminal.
878000	891000	And there was a lot of utilities and frameworks to make this possible and I kept I forget the exact of the wall that I was hitting but I kept hitting a wall and using one of these frameworks that was like just a limiter and this was a hard stop for me.
891000	904000	And okay, like I need to progress I need to do something and I ended up asking hey like what are my options as the first I'm just asking is that when I was asking it more questions to tell learn more.
904000	909000	And it's like oh I can write a markdown parser for you.
909000	918000	I said cool go for it. And so this is the first time when it one shot its own markdown rendering.
918000	922000	And to be frank the variant of that is still used today that actually renders.
922000	928000	So if you're ever curious like if like Gemini CLI has written a significant amount of its own code.
928000	931000	It's super significant amount so cool.
931000	960000	Yeah, it's we doubt like I think the biggest thing that we think about on the team is with AI using AI these days it is so easy to 10X yourself which sounds crazy to say but 10Xing is easy these days 100Xing that's the hard part like that is where you really start getting into how can I parallelize my workflows to make sure my time that I'm investing in each of these things is best spent.
960000	977000	Because models themselves that we talked about it there like there's so much that's left unsaid when asking a question they it still needs human feedback a lot of the times in order to be effective like things don't just get one shot of the right of course you see that in all the videos out there and like all the highlights.
977000	988000	But one shoting rarely happens so how do you optimize your time to make it so that multi shot scenarios are the land super well they can really amplify what you do.
988000	1003000	Another thing I'm curious about is are there any like methodologies you think about when using Gemini CLI like what's your mentality on how the tool operates is grounded in a lot of my developer background especially with AI.
1003000	1027000	Which is I personally feel like there's so much that's left unsaid when people will do a prop so like one of the big things is this is context engineering it's kind of grounded in the same mindset which is when you ask a question to your AI of choice you're giving it as much information as you possibly can to enable it to derive the right answer.
1027000	1046000	Now of course you're also leaning on its ability to like figure out more information and dig through your co base or whatever you're by doing at the time but that alone is really challenging spot because it can't know those offline conversations you have with your colleague or your friend it can't know.
1047000	1065000	Usually doesn't know your emails and your chat messages but it doesn't typically know that all those pieces of context really feed into building a coherent response so if you're currently writing tests and you ask to go ahead and implement something chances are you want to implement that in the form of tests.
1065000	1094000	Your current workflow that methodology though it kind of rings true with every decision we make I think the thing I tell the team is that do what a person would do and don't take shortcuts so one thing I might be surprising to folks is we don't use embeddings like for instance for search we do not index your code base we do a gentick search which means how you as a person or use as a developer would dig through a piece of code we do the same thing.
1095000	1121000	We'll do fine we'll do we'll we'll grab our way through the code base we'll open files or read them will effectively run commands like find all references on your behalf if we need to to find out what's the next piece of the puzzle because in the end we're trying to provide the right context to the LM so that it's grounded in every single thing it does to come to a good a good result so I think you think it's probably it was probably the biggest one.
1122000	1133000	I think that kind of really resonates with us something that I think is really cool is like maybe I'll ask the CLI to do something and it'll try to do the thing but be like well I can't actually do this.
1134000	1145000	But then you'll give me the steps that it needs to take in order to do it and be like are you okay with me going ahead and doing these steps to do the thing that I need to do to get to your original request which is very cool.
1146000	1165000	I love that's the that's such a huge unlock is the we call it self-healing it's ability to self-heal goes so far and like when it they'll try things like it has a good idea of what's on your box and to try to use all those things that when it can't do it it's so good at coming of other alternatives like I recall this one scenario.
1165000	1176000	I was talking to our marketing folks and I was giving them a demo to show what it could do and then the first question was oh can I like can you give me a link to this and I'm like oh.
1177000	1187000	It's we don't we don't have built in like deploy functionality like there's a cloud run and there's a cloud run extension actually being released very soon that will enable this just the folks know.
1188000	1193000	But we don't have that built in and so they're asking how can you do this I'm like okay well let me just ask.
1194000	1216000	And what it did is it ended up like creating a GitHub repository and GitHub repositories have a thing called GitHub pages which allows you to host static content and then it pushed this content to it and it gave me a link and I gave it I'm like I had never even considered that my question was how do I give this person like it but all the other pieces together to kind of make that a reality.
1216000	1230000	Like the scrap scrapiest developer yeah I'm almost thinking of the use case where I'm like hey Gemini CLI how can I like tell my mom that I'm still alive like up there and it'll like ask me maybe you should do that but hear the steps that I would take like are you okay.
1231000	1233000	I think about the text messages and whatever.
1234000	1238000	Totally yeah and my mom watches these so mom I'm still alive.
1238000	1247000	Well and also a moment ago you mentioned something about like an upcoming feature on the roadmap.
1248000	1255000	So what else like what else is coming up on the roadmap like are there any features coming up that you're most excited for.
1255000	1272000	Because we view Gemini CLI as being a lot more than just developers and because we've seen internally it's unlocking every profession whether you're a marketer or a financial to of course the software developer it kind of tax that hits all those buttons to make it so we can work with every one of these professions.
1273000	1284000	We're really doubling down an extensibility so you can heavily extend Gemini CLI and this is not just MCP servers this is literally you can install an extension which is a bundle of it could be available.
1285000	1295000	MCP servers specific instructions specific commands lots of different things to drive a different so this is the cloud run one that I had mentioned earlier they have an extension.
1296000	1308000	And this extension can be Gemini extensions install and then even passing cloud run and it's seamless installation but enables you to really curate the experience to your like your preferences.
1308000	1328000	So for instance if you are like a go developer and you want to make sure your environment is super go friendly like you'll install the right MCP servers to make that happen right or if you are it's a content generator maybe you'll hook it up to all your various socials maybe you'll create a generative media APIs you'll also hook that up to it.
1328000	1353000	So being able to turn these on and off is something that's super important to us because we know that there's a lot of use cases and so the big so that's the biggest feature that we're going to be talking about soon which is how to build these extensions how to install them manage them with the intention of making this super seamless for people where people can spin up their own registries for they want to we're going to have eventually going to have like a centralized registry for all of our extensions.
1354000	1363000	But the extension ecosystem is going to be the big one I can't wait to see what people build like we have a number of them coming out from Google from from cloud.
1365000	1370000	And just in general to really hook Gemini CLI into everything in a really seamless way.
1371000	1381000	Yeah Taylor I just wanted to thank you so much for sharing your insights with us in our audience of agent builders it's been a fascinating look behind the curtain of Gemini CLI and you've shared so much with us so so I want to thank you.
1382000	1407000	Oh thanks for having me this has been an amazing conversation like I love I love diving in and especially love just sharing stories and if you haven't checked this out checks out on GitHub you'll find us all the amazing like Gemini Google dash Gemini slash Gemini CLI and get up and then of course you can look for us in socials as well to get those weekly updates that we push out regularly.
1408000	1411000	Oh yeah good plug yeah thank you so much Taylor this is so fun.
1412000	1413000	Yeah thanks so much Taylor.
1414000	1421000	And that's our show for today thank you for joining us for this deep dive into the Gemini CLI we highly recommend you try it out for yourself.
1422000	1433000	And if you enjoyed this episode of the agent factory check us out next time where we'll continue diving into the world of AI agents until then I'm Emmett Mirage and I'm Molly Pettit.
1433000	1435000	Power it down.
